Data;Últ;Mín;Máx;Abe
05/02/2021;15.52;15.51;15.82;15.68
04/02/2021;15.6;15.45;15.78;15.59
03/02/2021;15.68;15.62;15.92;15.7
02/02/2021;15.61;15.43;16.3;15.87
01/02/2021;15.6;15.22;15.7;15.36
29/01/2021;15.11;15.07;15.67;15.4
28/01/2021;15.54;15.26;15.76;15.39
27/01/2021;15.39;15.17;15.59;15.4
26/01/2021;15.4;15.19;15.69;15.21
22/01/2021;15.15;14.95;15.55;15.42
21/01/2021;15.61;15.49;16.07;15.95
20/01/2021;16.02;15.9;16.39;16.32
19/01/2021;16.27;15.98;16.34;16.29
18/01/2021;16.22;16.02;16.48;16.16
15/01/2021;15.95;15.93;16.27;16.02
14/01/2021;16.26;16.05;16.43;16.12
13/01/2021;16.09;15.9;16.54;16.42
12/01/2021;16.72;16.09;16.83;16.09
11/01/2021;16.02;15.97;16.51;16.33
08/01/2021;16.45;15.95;16.67;16.02
07/01/2021;15.97;15.83;16.16;15.95
06/01/2021;15.97;15.56;16.15;15.59
05/01/2021;15.74;15.16;15.94;15.3
04/01/2021;15.41;15.31;15.77;15.72
30/12/2020;15.58;15.58;16.02;15.97
29/12/2020;15.87;15.71;15.93;15.82
28/12/2020;15.7;15.43;15.86;15.5
23/12/2020;15.43;15.43;15.66;15.51
22/12/2020;15.44;15.4;15.68;15.43
21/12/2020;15.35;15.24;15.72;15.58
18/12/2020;15.78;15.57;15.97;15.67
17/12/2020;15.63;15.28;15.67;15.4
16/12/2020;15.4;14.99;15.56;15.19
15/12/2020;15.15;14.91;15.42;14.97
14/12/2020;14.91;14.86;15.24;15.17
11/12/2020;15.09;14.91;15.38;15.24
10/12/2020;15.27;14.95;15.5;14.96
09/12/2020;14.86;14.57;14.87;14.62
08/12/2020;14.65;14.37;14.78;14.51
07/12/2020;14.57;14.46;14.83;14.52
04/12/2020;14.35;14.17;14.42;14.35
03/12/2020;14.31;13.92;14.47;14.35
02/12/2020;14.49;14.1;14.53;14.22
01/12/2020;14.29;13.71;14.35;13.72
30/11/2020;13.61;13.61;14.12;14.04
27/11/2020;13.94;13.94;14.21;14.1
26/11/2020;14.04;13.97;14.2;14.01
25/11/2020;14.11;14.1;14.36;14.36
24/11/2020;14.36;14.22;14.7;14.33
23/11/2020;14.27;13.91;14.33;14.17
20/11/2020;14.02;14.02;14.33;14.27
19/11/2020;14.34;14.27;14.7;14.5
18/11/2020;14.45;14.42;15.13;15.07
17/11/2020;15.05;14.71;15.27;14.87
16/11/2020;14.95;14.62;15.04;14.86
13/11/2020;14.71;14.17;14.81;14.3
12/11/2020;14.23;14.12;14.65;14.5
11/11/2020;14.5;14.36;14.85;14.8
10/11/2020;14.81;13.73;14.85;13.74
09/11/2020;13.84;13.26;13.87;13.44
06/11/2020;12.9;12.78;13.13;12.85
05/11/2020;12.98;12.61;13.01;12.74
04/11/2020;12.48;12.43;12.78;12.63
