Data;Últ;Mín;Máx;Abe
05/02/2021;63.45;62.5;63.95;62.65
04/02/2021;62.44;61.71;62.94;62.9
03/02/2021;62.96;62.3;64.1;63.06
02/02/2021;62.69;61.88;63.68;62
01/02/2021;61.25;60;62.02;60.4
29/01/2021;59.8;59.05;60.99;60.5
28/01/2021;61.29;58.9;61.4;59
27/01/2021;58.98;58.7;59.89;58.97
26/01/2021;59.3;57.8;59.6;58.36
22/01/2021;58.55;56.81;59.09;57.49
21/01/2021;58.1;58.06;60.9;60
20/01/2021;60;59.5;61.36;60.83
19/01/2021;60.59;59.96;61.6;61
18/01/2021;60.8;59.92;61.45;60.08
15/01/2021;59.82;59.34;61.38;60.61
14/01/2021;61.66;61.3;63;62.39
13/01/2021;62.1;61.04;62.4;61.95
12/01/2021;61.85;59.59;62.17;60.47
11/01/2021;60.11;58.45;62.67;62
08/01/2021;62.69;61.49;63.84;61.97
07/01/2021;61.78;59.74;62.04;59.8
06/01/2021;59.77;59.03;61.25;61.11
05/01/2021;61.1;59.66;61.94;60.65
04/01/2021;60.98;60.62;62.59;62.14
30/12/2020;61.45;61.06;61.64;61.36
29/12/2020;61.29;60.49;61.44;61.02
28/12/2020;60.97;59.28;60.97;59.63
23/12/2020;59.47;59.38;60.32;59.88
22/12/2020;59.76;58.46;59.87;58.94
21/12/2020;58.49;57.25;59.26;58
18/12/2020;59.58;59.22;60.57;59.96
17/12/2020;59.93;59.49;61.01;60.08
16/12/2020;60.03;58.04;60.6;58.36
15/12/2020;58.37;57.47;58.72;57.86
14/12/2020;57.78;57.12;58.89;58.75
11/12/2020;58.33;56.75;58.66;57.6
10/12/2020;57.71;54.39;57.85;56.35
09/12/2020;56.16;55.79;57.66;57.3
08/12/2020;57.62;57.02;58.27;57.96
07/12/2020;57.96;56.96;58.6;57.93
04/12/2020;58.26;57.43;58.95;58.64
03/12/2020;58.38;57.96;59.9;59.36
02/12/2020;59.09;56.26;59.13;56.31
01/12/2020;56.29;55.7;56.7;56.31
30/11/2020;55.65;55.35;56.51;56.11
27/11/2020;56.41;55.86;56.8;56.61
26/11/2020;56.51;55.39;56.61;55.8
25/11/2020;56.12;54.94;56.24;55.16
24/11/2020;55.22;52.9;55.23;53.53
23/11/2020;53.62;53.14;54.52;54.15
20/11/2020;54.08;53.76;54.82;54.6
19/11/2020;54.84;53.36;54.84;53.78
18/11/2020;53.58;52.57;54.4;53.04
17/11/2020;53.09;52.41;53.44;52.94
16/11/2020;52.94;52.36;54.4;53.78
13/11/2020;53.24;52.08;54.13;53.87
12/11/2020;53.32;52.87;55.23;55.09
11/11/2020;54.92;53.45;55.49;53.98
10/11/2020;53.63;53.16;55.62;53.39
09/11/2020;53.39;52.97;57.8;57.15
06/11/2020;56.13;54.84;56.39;55.35
05/11/2020;56.12;54.53;56.15;54.53
04/11/2020;53.63;51.05;53.77;51.07
03/11/2020;50.53;50.12;51.85;51.35
30/10/2020;50.61;50.25;52.25;52.05
29/10/2020;52.52;49.95;53.03;50.26
28/10/2020;50.89;50.39;51.95;51.25
