Data;Últ;Mín;Máx;Abe
05/02/2021;25.87;25.73;26.2;26.01
04/02/2021;26.01;25.8;26.55;26.4
03/02/2021;25.25;25.06;25.62;25.32
02/02/2021;25.13;24.76;25.8;25.61
01/02/2021;25.23;25;25.52;25.16
29/01/2021;24.72;24.51;25.48;25.16
28/01/2021;25.51;24.69;25.81;24.75
27/01/2021;24.78;24.08;25.13;24.28
26/01/2021;24.39;24.27;25.61;24.95
22/01/2021;24.99;24.8;25.36;24.93
21/01/2021;25.46;25.22;25.99;25.89
20/01/2021;25.83;25.76;26.6;26.58
19/01/2021;26.38;26.13;27.1;27.06
18/01/2021;26.81;26.59;27.34;26.85
15/01/2021;26.72;26.65;27.26;27.08
14/01/2021;27.48;26.64;27.74;26.81
13/01/2021;26.66;26.24;27.27;27.14
12/01/2021;27.07;26.83;27.38;27.24
11/01/2021;27.09;26.73;27.37;27.1
08/01/2021;27.58;27.21;28.39;28.04
07/01/2021;27.82;26.94;27.96;27.15
06/01/2021;27.05;26.25;27.46;26.27
05/01/2021;26.23;25.66;26.38;26.18
04/01/2021;26.4;26.23;27.5;27.5
30/12/2020;27.11;27.11;27.71;27.6
29/12/2020;27.5;27.34;27.85;27.79
28/12/2020;27.6;27.53;27.87;27.71
23/12/2020;27.34;26.78;27.51;26.94
22/12/2020;26.72;26.39;26.87;26.39
21/12/2020;26.19;26.16;26.71;26.23
18/12/2020;26.84;26.64;27.21;26.75
17/12/2020;26.79;26.57;27.19;27.02
16/12/2020;26.67;25.95;27.1;26.2
15/12/2020;26.07;26.07;26.56;26.27
14/12/2020;26.07;26.07;26.63;26.38
11/12/2020;26.21;25.8;26.46;26.03
10/12/2020;26.42;25.58;26.53;25.59
09/12/2020;25.37;25.19;25.56;25.3
08/12/2020;25.3;25.19;25.97;25.53
07/12/2020;25.61;25.18;26.12;25.3
04/12/2020;25.44;25.1;25.72;25.66
03/12/2020;25.23;25.17;26.35;25.54
02/12/2020;25.56;25.09;25.73;25.54
01/12/2020;25.29;24.37;25.81;24.43
30/11/2020;23.95;23.88;24.47;24.18
27/11/2020;24.28;24.28;24.96;24.68
26/11/2020;24.48;24.34;24.81;24.77
25/11/2020;24.88;24.62;25.31;25.15
24/11/2020;25.21;24.35;25.57;24.36
23/11/2020;24.13;24.02;24.48;24.31
20/11/2020;24.02;23.8;24.43;24.21
19/11/2020;24.28;24.19;24.75;24.27
18/11/2020;24.26;24.26;25.05;24.94
17/11/2020;25.03;24.36;25.03;24.64
16/11/2020;24.88;24.25;24.93;24.33
13/11/2020;23.84;22.99;23.84;23.27
12/11/2020;23.02;22.87;23.97;23.95
11/11/2020;23.97;23.28;24.23;24.01
10/11/2020;24.07;22.69;24.26;22.69
09/11/2020;22.61;21.54;22.92;21.83
06/11/2020;20.65;20.4;20.75;20.45
05/11/2020;20.7;20.23;20.83;20.75
04/11/2020;20.38;20;20.93;20.89
03/11/2020;20.53;20.02;20.7;20.23
30/10/2020;19.85;19.63;20.39;20.14
29/10/2020;20.47;19.67;20.58;20.48
28/10/2020;20.68;20.64;21.48;21.48
27/10/2020;21.92;21.78;23.14;23.03
26/10/2020;22.55;22.09;22.67;22.15
23/10/2020;22.28;22.1;22.99;22.45
22/10/2020;22.37;21.37;22.55;21.37
21/10/2020;21.39;20.92;21.68;21.17
20/10/2020;21.17;20.48;21.37;20.48
19/10/2020;20.3;20;20.75;20.18
16/10/2020;20.02;20.02;20.36;20.34
15/10/2020;20.42;20.17;20.74;20.26
