Data;Últ;Mín;Máx;Abe
05/02/2021;98.73;96.54;100.2;97.13
04/02/2021;97.13;96.07;98.21;98
03/02/2021;97.53;95.54;98.6;97.99
02/02/2021;97.89;96.34;100.38;99.01
01/02/2021;96.57;94.53;98;97.56
29/01/2021;94.5;93.4;97.28;97.14
28/01/2021;97.72;94.01;98.78;94.83
27/01/2021;94.83;93.68;99.02;98.64
26/01/2021;98.56;97.09;100.96;99.2
22/01/2021;97.54;95.89;99.08;97.75
21/01/2021;98.62;96.54;100.96;97.48
20/01/2021;98.09;94.62;98.4;96.98
19/01/2021;96.8;95.31;100.73;100
18/01/2021;99;96;100.4;96.82
15/01/2021;95.5;91.41;96.62;92.28
14/01/2021;94.18;93.17;96.89;95
13/01/2021;95.09;94.2;98.31;98.31
12/01/2021;98.67;96.08;101.11;100.94
11/01/2021;101.45;88.8;103.04;90
08/01/2021;91.4;72.36;95.41;72.36
07/01/2021;72.2;71.2;74.46;72.75
06/01/2021;72.31;72.31;75.72;75.52
05/01/2021;75.5;75.4;77.48;76.64
04/01/2021;77.26;76.14;79.56;79.1
30/12/2020;78.34;77.68;80.84;80.08
29/12/2020;79.97;77.42;80.31;78.2
28/12/2020;78;76.12;78.24;77.3
23/12/2020;77.3;76.73;78;77.95
22/12/2020;77.57;74.75;78.16;74.75
21/12/2020;75.48;71.67;76;72.63
18/12/2020;74.35;73.27;76.71;75.82
17/12/2020;75.58;74.3;76;74.3
16/12/2020;74.79;73.38;75.4;74
15/12/2020;74.05;72.82;75.16;74.86
14/12/2020;74.43;73.58;75.3;75.3
11/12/2020;74.86;73.94;75.35;73.95
10/12/2020;75.05;74.42;76.88;76.2
09/12/2020;75.25;74.57;77;76.3
08/12/2020;74.9;72.73;75.27;73.48
07/12/2020;73.47;72.01;75;75
04/12/2020;74.77;74.04;75.85;74.78
03/12/2020;73.83;72.76;74.8;73.4
02/12/2020;73.14;69.93;73.97;70.06
01/12/2020;70.07;67.57;71.15;69
30/11/2020;68.5;67.62;69.77;69.5
27/11/2020;69.5;66.8;70.18;70.18
26/11/2020;70.48;69.96;72.55;72.2
25/11/2020;72.35;70.13;73.36;70.81
24/11/2020;70.59;69.83;71.48;71.48
23/11/2020;71.48;69.99;72.29;70.4
20/11/2020;69.88;69.66;70.73;70.15
19/11/2020;70.39;69.37;71.45;71.01
18/11/2020;71;70.7;72.74;72.06
17/11/2020;71.8;70.5;73.98;73.98
16/11/2020;73.98;72.14;74.92;74.92
13/11/2020;74.5;69.55;74.8;69.69
12/11/2020;69.33;68.44;69.98;69.29
11/11/2020;68.9;67.61;69.63;68.89
10/11/2020;69.36;68.82;72.2;71.6
09/11/2020;72.1;70.51;75.99;74.77
06/11/2020;73.86;71.71;74;72
05/11/2020;72.72;71.57;74.17;72.51
04/11/2020;71.79;67.5;71.8;68.03
03/11/2020;67.5;65.34;67.97;66.04
30/10/2020;65.75;65.12;67.31;67.31
29/10/2020;67.46;64.64;67.49;65.94
28/10/2020;65.93;65.23;66.78;65.5
27/10/2020;66.87;66.47;68.85;66.81
26/10/2020;66.53;63.85;66.91;64.5
23/10/2020;64.34;64.1;66.2;66
22/10/2020;66.43;64.94;66.58;65.5
21/10/2020;65.51;65.05;66.6;65.3
20/10/2020;65.3;64.5;66.24;65.7
19/10/2020;65.13;64.56;66.34;65.31
16/10/2020;65.03;64.4;66.9;66.8
15/10/2020;67.07;66.56;67.88;67.5
14/10/2020;68.72;66.9;69.4;67.07
13/10/2020;66.95;64.34;67.74;64.63
09/10/2020;64.7;64.17;66.55;66.2
08/10/2020;66.06;63.78;66.54;65.33
07/10/2020;64.99;63.1;65.73;65
06/10/2020;64.2;63.28;66.9;66.9
05/10/2020;65.73;62.5;66.81;63.1
02/10/2020;64.25;63.69;65.8;65.78
01/10/2020;65.89;64.08;66.19;64.94
30/09/2020;65.06;63.4;65.48;63.6
29/09/2020;63.6;63;64.87;63.9
28/09/2020;64.16;64.01;68.34;67.68
25/09/2020;67.68;65.92;67.88;67.66
24/09/2020;67.87;66.59;68.95;67.16
23/09/2020;66.81;66.46;68.87;67.27
22/09/2020;68.44;67.69;68.97;68.4
21/09/2020;69.17;67.12;69.29;68.6
18/09/2020;69.43;67.37;70.19;69.01
17/09/2020;69.7;69.03;71.19;70.25
16/09/2020;71.86;71.55;73.6;71.85
15/09/2020;71.27;69.98;73.29;73.29
14/09/2020;73;70.41;73;70.62
11/09/2020;69.86;69.34;73.29;72.9
10/09/2020;72.6;71.65;75.55;74.92
09/09/2020;75.17;73.9;76.49;76
08/09/2020;74.28;72;75.7;72.5
04/09/2020;74.58;73.62;75.8;74.93
03/09/2020;74.33;72.57;74.95;73.97
02/09/2020;73.68;72.45;75.1;74.53
01/09/2020;74.53;74.38;75.81;74.61
31/08/2020;74.1;73.41;75.06;73.8
28/08/2020;74.5;73.17;75.18;73.93
27/08/2020;73.63;72.36;74.5;72.59
26/08/2020;72.88;71.14;73.12;72.1
25/08/2020;70.59;69.4;71.66;69.89
24/08/2020;69.73;67.68;69.8;68.43
21/08/2020;69.17;64.35;69.37;65.33
20/08/2020;65.66;62.7;65.87;63.21
19/08/2020;65.34;64.84;67.27;67.27
18/08/2020;67;66.5;67.6;67.26
17/08/2020;65.84;64.58;68.01;66.63
14/08/2020;66.84;65.56;67.5;66.41
13/08/2020;66.31;65.26;67.91;65.86
12/08/2020;65.57;64.36;68.28;68.07
11/08/2020;67.79;67.06;68.89;68.89
10/08/2020;68.66;67.65;70.81;70.43
07/08/2020;70.43;69.16;72.15;70.57
06/08/2020;70.57;68.2;70.57;68.64
05/08/2020;67.99;67.03;68.8;68
04/08/2020;66.2;65.62;68.66;68.66
03/08/2020;68.66;66.04;69.39;67.5
31/07/2020;66.76;66.18;69.43;68.97
30/07/2020;68.9;66.54;69.52;66.86
29/07/2020;67.42;67.15;68.77;68.05
28/07/2020;68.05;65.67;68.32;66.74
27/07/2020;67.01;66.26;69.78;67.6
24/07/2020;68.06;65.8;68.67;67.68
23/07/2020;67.21;67.06;70.1;69.99
22/07/2020;69.65;67.66;69.69;68.4
21/07/2020;68.27;66.5;68.79;68.48
20/07/2020;69.11;67.2;69.11;67.32
17/07/2020;67.42;63.08;67.42;63.08
16/07/2020;63.03;62.6;64.2;63.95
15/07/2020;64.28;63.72;64.7;64.12
14/07/2020;64.11;60.84;64.37;61.5
13/07/2020;61.7;61.5;63.84;63.69
10/07/2020;63.75;63.71;64.8;64.77
09/07/2020;64.91;63.42;64.92;64.7
08/07/2020;64.59;63.54;65.5;64.81
07/07/2020;64.47;63.79;66;65.57
06/07/2020;65.96;65.14;66.4;66.23
03/07/2020;65.8;65.33;66.49;65.61
02/07/2020;65.5;65.42;69;69
01/07/2020;68.28;67.29;69.03;68.6
30/06/2020;68.01;66.62;69.18;67.1
29/06/2020;68.01;66.37;68.09;67.18
26/06/2020;66.52;65.7;67.92;65.72
25/06/2020;66.5;64.55;66.7;66
24/06/2020;65.17;63.88;66.7;65.66
23/06/2020;66.27;64.22;67.45;64.51
22/06/2020;63.98;63.21;66.27;65.49
19/06/2020;64.67;62.75;65.25;63.5
18/06/2020;62.98;62.2;63.36;62.3
17/06/2020;63;62.52;63.96;63.31
16/06/2020;62.84;61.47;64.6;63.98
15/06/2020;62.9;61.9;64.4;62.29
12/06/2020;63.84;61.1;64.08;62.3
10/06/2020;64;62.96;64.93;64.4
09/06/2020;63.66;62.15;63.89;63.21
08/06/2020;64.24;63.2;65.71;65.38
