Data;Últ;Mín;Máx;Abe
05/02/2021;28.08;27.89;28.45;28.31
04/02/2021;28.2;27.88;28.56;28.53
03/02/2021;28.32;28.21;28.9;28.76
02/02/2021;28.46;28;29.3;29.08
01/02/2021;29.08;28.74;29.42;29
29/01/2021;28.32;28.28;29.53;29.2
28/01/2021;29.37;28.22;29.61;28.28
27/01/2021;28.22;27.85;28.97;28.1
26/01/2021;28.24;28.13;29.83;28.97
22/01/2021;29.21;28.92;29.41;29.19
21/01/2021;29.85;29.59;30.4;30.26
20/01/2021;30.26;30.05;31.04;30.99
19/01/2021;30.77;30.49;31.55;31.43
18/01/2021;31.14;31.08;31.87;31.6
15/01/2021;31.3;31.29;32.33;31.99
14/01/2021;32.53;31.61;32.87;31.96
13/01/2021;31.59;31.2;32.47;32.12
12/01/2021;32.12;31.96;32.39;32.12
11/01/2021;32.02;31.66;32.64;32.41
08/01/2021;32.75;32.37;33.37;32.86
07/01/2021;32.76;31.44;32.99;31.59
06/01/2021;31.49;30.73;32;30.92
05/01/2021;30.64;30.11;31;30.67
04/01/2021;30.84;30.78;31.93;31.92
30/12/2020;31.55;31.55;32.25;32.12
29/12/2020;32.02;31.85;32.31;32.19
28/12/2020;32.09;31.93;32.35;32.14
23/12/2020;31.86;31.19;31.97;31.24
22/12/2020;31.17;31.07;31.57;31.09
21/12/2020;31.02;30.83;31.42;30.97
18/12/2020;31.58;31.43;32.04;31.64
17/12/2020;31.63;31.49;32.07;31.81
16/12/2020;31.67;30.94;32.1;31.16
15/12/2020;31.08;30.85;31.32;30.89
14/12/2020;30.8;30.8;31.55;31.39
11/12/2020;31.22;30.73;31.4;31.09
10/12/2020;31.42;30.63;31.59;30.63
09/12/2020;30.41;30.16;30.61;30.26
08/12/2020;30.23;30.06;31;30.31
07/12/2020;30.31;29.9;30.93;30.12
04/12/2020;30.13;29.53;30.28;30.09
03/12/2020;29.83;29.78;30.75;30.01
02/12/2020;29.85;29.32;30.11;29.8
01/12/2020;29.63;28.82;30.34;28.93
30/11/2020;28.43;28.43;29.06;28.83
27/11/2020;28.82;28.76;29.65;28.91
26/11/2020;28.6;28.49;29.2;29.15
25/11/2020;29.22;28.79;29.65;29.48
24/11/2020;29.57;28.96;30.04;28.96
23/11/2020;28.76;28.59;29.07;28.71
20/11/2020;28.42;28.26;28.84;28.59
19/11/2020;28.67;28.54;29.26;28.76
18/11/2020;28.63;28.58;29.43;29.29
17/11/2020;29.35;28.76;29.47;29.23
16/11/2020;29.33;28.76;29.45;28.88
13/11/2020;28.34;27.86;28.47;28.04
12/11/2020;27.81;27.46;28.71;28.29
11/11/2020;28.51;28.08;28.86;28.62
10/11/2020;28.74;27.52;29.01;27.52
09/11/2020;27.5;26.61;27.89;26.61
06/11/2020;25.44;25.14;25.7;25.23
05/11/2020;25.47;25.29;25.82;25.39
04/11/2020;24.88;24.75;25.62;25.38
03/11/2020;23.93;23.6;24.21;23.79
30/10/2020;23.35;23.11;23.8;23.52
29/10/2020;23.77;22.92;23.91;23.45
28/10/2020;23.65;23.6;24.29;24.12
27/10/2020;24.76;24.56;26.03;25.96
26/10/2020;25.48;25.03;25.72;25.16
23/10/2020;25.3;25.27;26.16;25.76
22/10/2020;25.63;24.42;25.78;24.44
21/10/2020;24.38;23.94;24.81;24.13
20/10/2020;24.16;23.37;24.27;23.39
19/10/2020;23.24;22.82;23.82;23.13
16/10/2020;22.99;22.97;23.32;23.29
15/10/2020;23.36;23.14;23.6;23.33
14/10/2020;23.57;23.53;23.84;23.76
13/10/2020;23.64;23.49;24;23.85
09/10/2020;23.87;23.46;24.48;23.77
08/10/2020;23.94;22.48;24.15;22.6
07/10/2020;22.58;22.45;22.88;22.81
06/10/2020;22.75;22.59;23.26;22.97
05/10/2020;22.71;22.22;22.89;22.6
02/10/2020;22.47;22.22;23.2;22.24
01/10/2020;22.4;22.06;22.48;22.43
30/09/2020;22.37;22.24;22.55;22.44
29/09/2020;22.27;22.17;22.77;22.76
28/09/2020;22.76;22.44;23.76;23.11
25/09/2020;22.77;22.48;22.84;22.67
24/09/2020;22.89;22.29;23.2;22.37
23/09/2020;22.35;22.34;22.99;22.78
22/09/2020;22.96;22.62;23.17;22.71
21/09/2020;22.76;22.32;22.88;22.61
18/09/2020;22.96;22.89;23.48;23.36
17/09/2020;23.55;23.25;23.69;23.36
16/09/2020;23.52;23.5;24.07;23.62
15/09/2020;23.59;23.46;24.08;24.02
14/09/2020;23.91;23.18;24.07;23.65
11/09/2020;23.49;23.29;23.93;23.81
10/09/2020;23.77;23.76;24.51;24.25
09/09/2020;24.28;24.02;24.66;24.45
08/09/2020;24.25;24.12;24.62;24.41
04/09/2020;24.81;24.4;25.14;25.01
