Data;Últ;Mín;Máx;Abe
05/02/2021;25.15;25.07;25.59;25.25
04/02/2021;25.1;24.68;25.5;24.88
03/02/2021;24.83;24.6;25.3;24.6
02/02/2021;24.52;24.18;24.87;24.51
01/02/2021;24.23;23.78;24.48;24.36
29/01/2021;24.18;24.07;24.85;24.07
28/01/2021;24.3;23.75;24.44;23.9
27/01/2021;23.91;23.69;24.38;24.16
26/01/2021;24.14;23.83;24.91;24.51
22/01/2021;24.51;24.11;24.63;24.22
21/01/2021;24.47;24.33;24.95;24.76
20/01/2021;24.75;24.38;25.1;24.51
19/01/2021;24.47;23.94;24.7;24.45
18/01/2021;24.25;24.2;24.63;24.52
15/01/2021;24.42;24.19;24.75;24.29
14/01/2021;24.56;24.46;25.1;24.99
13/01/2021;24.86;24.44;25.14;24.82
12/01/2021;24.63;24.24;24.85;24.43
11/01/2021;24.25;24.08;24.65;24.19
08/01/2021;24.4;23.89;24.61;23.91
07/01/2021;23.83;23.6;24.38;23.61
06/01/2021;23.61;23.44;24.09;23.75
05/01/2021;23.75;22.8;23.75;23.29
04/01/2021;23.41;23.29;24.17;23.9
30/12/2020;23.66;23.53;24.17;24.09
29/12/2020;24.01;23.81;24.4;23.94
28/12/2020;23.85;23.66;23.99;23.9
23/12/2020;23.78;23.66;24.35;24.2
22/12/2020;24.06;23.29;24.28;23.33
21/12/2020;23.23;23.04;23.66;23.14
18/12/2020;23.67;23.45;24.15;23.46
17/12/2020;23.52;23.32;23.72;23.52
16/12/2020;23.55;22.75;23.78;22.75
15/12/2020;22.81;22.11;22.88;22.34
14/12/2020;22.28;22.15;22.58;22.47
11/12/2020;22.37;21.75;22.49;22.1
10/12/2020;22.28;22.05;22.7;22.66
09/12/2020;22.6;22.57;23.28;23.08
08/12/2020;23;22.76;23.48;22.8
07/12/2020;22.85;22.57;23.14;22.98
04/12/2020;22.98;22.88;23.59;23.28
03/12/2020;23.26;22.85;23.64;23.48
02/12/2020;23.48;23.31;23.87;23.65
01/12/2020;23.49;23.21;23.94;23.5
30/11/2020;23.15;23.07;23.57;23.18
27/11/2020;23.07;22.91;23.44;23
26/11/2020;22.91;22.71;23.09;22.72
25/11/2020;22.68;22.59;23.09;22.62
24/11/2020;22.58;22.28;22.74;22.48
23/11/2020;22.33;22.15;22.87;22.2
20/11/2020;21.99;21.7;22.2;21.84
19/11/2020;21.84;21.48;22.11;21.99
18/11/2020;21.63;21.27;22.23;21.34
17/11/2020;21.2;21.06;21.58;21.06
16/11/2020;21.14;20.96;21.6;21.4
13/11/2020;21.18;20.84;21.45;21.2
12/11/2020;20.99;20.95;21.99;21.65
11/11/2020;21.09;20.9;21.49;21.11
