Data;Hora;Últ;Mín;Máx;Abe
15/01/2021;17:50;24;23.85;24.11;23.89
15/01/2021;17:45;23.9;23.83;23.9;23.83
15/01/2021;17:40;23.83;23.82;23.92;23.89
15/01/2021;17:35;23.9;23.86;23.93;23.9
15/01/2021;17:30;23.91;23.86;23.91;23.87
15/01/2021;17:25;23.88;23.86;23.89;23.86
15/01/2021;17:20;23.86;23.85;23.93;23.88
15/01/2021;17:15;23.88;23.85;23.96;23.94
15/01/2021;17:10;23.94;23.93;23.96;23.95
15/01/2021;17:05;23.95;23.95;23.97;23.95
15/01/2021;17:00;23.95;23.92;23.96;23.92
15/01/2021;16:55;23.93;23.89;23.94;23.93
15/01/2021;16:50;23.93;23.93;23.97;23.93
15/01/2021;16:45;23.93;23.85;23.98;23.87
15/01/2021;16:40;23.87;23.85;23.9;23.88
15/01/2021;16:35;23.89;23.87;23.92;23.91
15/01/2021;16:30;23.92;23.87;23.92;23.9
15/01/2021;16:25;23.9;23.84;23.93;23.84
15/01/2021;16:20;23.83;23.8;23.87;23.82
15/01/2021;16:15;23.82;23.81;23.88;23.83
15/01/2021;16:10;23.83;23.8;23.89;23.86
15/01/2021;16:05;23.87;23.84;23.92;23.86
15/01/2021;16:00;23.86;23.8;23.91;23.81
15/01/2021;15:55;23.8;23.77;23.82;23.81
15/01/2021;15:50;23.81;23.77;23.82;23.81
15/01/2021;15:45;23.81;23.77;23.84;23.8
15/01/2021;15:40;23.81;23.8;23.86;23.83
15/01/2021;15:35;23.82;23.8;23.9;23.89
15/01/2021;15:30;23.89;23.8;23.9;23.81
15/01/2021;15:25;23.81;23.8;23.83;23.8
15/01/2021;15:20;23.81;23.79;23.83;23.79
15/01/2021;15:15;23.79;23.79;23.85;23.84
15/01/2021;15:10;23.84;23.79;23.85;23.8
15/01/2021;15:05;23.8;23.79;23.88;23.79
15/01/2021;15:00;23.79;23.66;23.82;23.66
15/01/2021;14:55;23.67;23.63;23.68;23.65
15/01/2021;14:50;23.66;23.56;23.68;23.61
15/01/2021;14:45;23.61;23.58;23.63;23.6
15/01/2021;14:40;23.6;23.59;23.65;23.6
15/01/2021;14:35;23.6;23.6;23.65;23.64
15/01/2021;14:30;23.63;23.58;23.68;23.64
15/01/2021;14:25;23.64;23.6;23.66;23.62
15/01/2021;14:20;23.61;23.53;23.67;23.64
15/01/2021;14:15;23.63;23.62;23.75;23.71
15/01/2021;14:10;23.73;23.71;23.82;23.8
15/01/2021;14:05;23.8;23.7;23.82;23.7
15/01/2021;14:00;23.71;23.65;23.72;23.66
15/01/2021;13:55;23.66;23.64;23.7;23.7
15/01/2021;13:50;23.7;23.62;23.7;23.64
15/01/2021;13:45;23.65;23.63;23.69;23.63
15/01/2021;13:40;23.64;23.61;23.69;23.63
15/01/2021;13:35;23.63;23.58;23.67;23.6
15/01/2021;13:30;23.6;23.54;23.61;23.55
15/01/2021;13:25;23.54;23.48;23.58;23.5
15/01/2021;13:20;23.51;23.5;23.53;23.51
15/01/2021;13:15;23.52;23.47;23.53;23.51
15/01/2021;13:10;23.53;23.47;23.53;23.49
15/01/2021;13:05;23.49;23.47;23.52;23.48
15/01/2021;13:00;23.48;23.48;23.54;23.51
15/01/2021;12:55;23.51;23.49;23.54;23.52
15/01/2021;12:50;23.51;23.44;23.59;23.45
15/01/2021;12:45;23.45;23.43;23.47;23.45
15/01/2021;12:40;23.44;23.44;23.5;23.45
15/01/2021;12:35;23.45;23.4;23.47;23.42
15/01/2021;12:30;23.42;23.42;23.46;23.45
15/01/2021;12:25;23.44;23.39;23.45;23.43
15/01/2021;12:20;23.43;23.35;23.45;23.41
15/01/2021;12:15;23.4;23.4;23.47;23.45
15/01/2021;12:10;23.46;23.42;23.5;23.42
15/01/2021;12:05;23.42;23.42;23.5;23.44
15/01/2021;12:00;23.45;23.43;23.52;23.48
