Data;Últ;Mín;Máx;Abe
05/02/2021;25.85;25.38;26.09;25.38
04/02/2021;25.31;25.16;26.2;25.64
03/02/2021;25.65;25.04;25.77;25.44
02/02/2021;25.3;25.2;25.73;25.3
01/02/2021;24.93;24.75;25.74;25.68
29/01/2021;25.27;25.03;26.08;25.74
28/01/2021;26.19;25.39;26.5;25.87
27/01/2021;25.79;25.35;26.39;25.72
26/01/2021;25.75;25.67;27.07;26.25
22/01/2021;25.99;25.1;26.3;25.13
21/01/2021;25.49;24.85;25.65;25.4
20/01/2021;25.42;24.12;25.53;24.18
19/01/2021;24.08;23.82;24.95;24.54
18/01/2021;24.45;23.91;24.65;24.05
15/01/2021;23.96;23.35;24.11;23.42
14/01/2021;23.73;23.5;24.16;24.15
13/01/2021;24.02;23.55;24.2;24.2
12/01/2021;24.2;23.25;24.32;23.6
11/01/2021;23.49;23.33;23.85;23.5
08/01/2021;23.84;23.02;24.3;23.19
07/01/2021;23.16;22.95;23.85;23.64
06/01/2021;23.44;23.42;24.66;24.65
05/01/2021;24.76;24.34;25.18;25.1
04/01/2021;25.2;24.87;25.58;25.26
30/12/2020;24.95;24.95;25.66;25.37
29/12/2020;25.26;25;25.54;25.21
28/12/2020;25.23;24.38;25.31;24.76
23/12/2020;24.95;24.95;25.61;25.23
22/12/2020;25.14;24.83;25.4;25.27
21/12/2020;24.98;23.59;25.36;23.91
18/12/2020;24.5;24.08;24.61;24.46
17/12/2020;24.52;24.34;25.09;24.84
16/12/2020;24.94;24.15;24.95;24.48
15/12/2020;24.59;23.62;24.8;24.14
14/12/2020;24.03;22.85;24.2;22.98
11/12/2020;22.97;22.7;23.51;23.07
10/12/2020;23.38;23.15;24.14;24.08
09/12/2020;23.96;23.79;25.04;24.93
08/12/2020;24.93;23.59;24.93;23.71
07/12/2020;23.78;23.41;24.25;23.64
04/12/2020;23.64;23.15;23.83;23.4
03/12/2020;23.28;22.91;23.58;23.06
02/12/2020;23.03;22.73;23.15;22.86
01/12/2020;22.86;22.58;23.75;23.63
30/11/2020;23.36;23.2;24.67;24.18
27/11/2020;24.17;23.9;24.53;24.3
26/11/2020;24.23;23.8;24.28;23.88
25/11/2020;23.98;23.5;24.29;23.65
24/11/2020;23.68;22.88;23.95;23.35
23/11/2020;23.4;23.2;24.35;24.28
20/11/2020;24.18;23.99;24.93;24.92
19/11/2020;24.62;23.8;24.7;24.51
18/11/2020;24.52;24.05;24.71;24.68
17/11/2020;24.71;24.51;25.25;24.73
16/11/2020;24.83;24.25;25.37;25.28
13/11/2020;25.08;24.84;25.76;25.74
12/11/2020;25.46;24.89;25.93;25.51
11/11/2020;25.56;25.26;26.19;25.38
10/11/2020;25.2;25.16;27.1;25.99
09/11/2020;26.43;26.33;28.28;28.13
06/11/2020;27.31;26.49;27.34;26.98
05/11/2020;27.43;26.72;27.68;26.86
04/11/2020;26.17;25.35;26.61;25.38
03/11/2020;24.97;24.73;25.37;25.26
30/10/2020;24.61;24.14;25.28;25.13
29/10/2020;25.34;23.86;25.56;24.38
28/10/2020;24.61;24.38;25.22;24.78
27/10/2020;25.43;25.1;25.73;25.51
26/10/2020;25.45;25.09;26.08;25.78
23/10/2020;25.9;25.63;26.19;26.08
22/10/2020;26.08;25.98;26.38;26.33
21/10/2020;26.2;25.94;26.78;25.98
20/10/2020;26.02;25.63;26.12;25.78
19/10/2020;25.67;25.33;26.28;26.09
16/10/2020;25.78;25.14;26.03;25.74
15/10/2020;25.49;24.98;26.05;25
14/10/2020;25.66;25.02;27.23;26.48
13/10/2020;25.98;24.85;26.08;24.86
09/10/2020;24.52;22.88;24.52;22.95
08/10/2020;22.95;22.26;22.98;22.43
07/10/2020;22.22;22.21;22.67;22.41
06/10/2020;22.31;22.2;22.78;22.73
05/10/2020;22.52;22.05;22.65;22.23
02/10/2020;21.99;21.88;22.92;22.74
01/10/2020;22.95;22.28;22.95;22.32
30/09/2020;22.28;21.79;22.46;22.01
29/09/2020;21.85;21.62;22.19;21.87
28/09/2020;21.85;21.74;23.05;22.88
25/09/2020;22.64;21.86;22.75;22.08
24/09/2020;22.31;21.41;22.43;21.71
23/09/2020;21.6;21.53;22.47;22.35
22/09/2020;22.35;21.86;22.53;22.38
21/09/2020;22.16;21.06;22.27;21.29
18/09/2020;21.77;21.49;22.37;21.88
17/09/2020;21.76;21.65;22.31;22.13
16/09/2020;22.27;22.14;22.7;22.44
15/09/2020;22.38;22.25;23.09;22.83
14/09/2020;22.56;22.23;22.95;22.28
11/09/2020;21.87;21.76;22.58;22.32
10/09/2020;22.04;21.73;23.4;22.82
09/09/2020;22.78;22.24;22.84;22.24
08/09/2020;21.9;21.36;22.36;21.74
04/09/2020;22.17;20.85;22.59;22.34
03/09/2020;22.11;21.78;23.55;23.43
02/09/2020;23.36;23.23;24.08;23.95
01/09/2020;23.81;23.4;24.04;23.53
31/08/2020;23.28;23.07;23.61;23.61
28/08/2020;23.62;22.95;23.62;23.1
27/08/2020;22.97;22.59;23.01;22.59
26/08/2020;22.52;21.97;22.85;22.01
25/08/2020;21.98;21.83;22.16;21.96
24/08/2020;21.75;21.63;22.25;22.03
21/08/2020;21.82;21.58;22.16;21.72
20/08/2020;21.82;21.52;22.05;22.02
19/08/2020;22.41;22.04;22.54;22.23
18/08/2020;22.36;20.98;22.43;21.36
17/08/2020;20.39;19.83;20.85;20.61
14/08/2020;20.42;20.03;20.59;20.13
13/08/2020;20.09;19.85;20.98;20.13
12/08/2020;20;19.78;20.51;20.31
11/08/2020;20.23;20.04;20.73;20.66
10/08/2020;20.46;20.26;21.56;21.53
07/08/2020;21.39;21.07;21.86;21.28
06/08/2020;21.46;20.86;21.53;20.98
05/08/2020;20.73;20.71;21.09;20.81
04/08/2020;20.61;20.19;20.78;20.34
03/08/2020;20.62;19.92;20.68;20.28
31/07/2020;20.16;19.98;21.17;21.03
30/07/2020;20.78;19.73;20.82;19.76
29/07/2020;20.01;19.84;20.31;20.2
28/07/2020;20.06;19.59;20.23;19.79
27/07/2020;19.8;19.59;20.45;20.12
24/07/2020;19.88;19.26;19.93;19.93
23/07/2020;20.06;19.59;21.31;21.23
22/07/2020;21.12;20.5;21.47;20.96
21/07/2020;21.03;20.89;22.33;22.13
20/07/2020;21.71;20.49;21.75;20.55
17/07/2020;20.46;20.08;20.51;20.08
16/07/2020;20;19.75;20.41;20.23
15/07/2020;20.33;20.18;20.43;20.28
14/07/2020;20.08;19.82;20.55;20.15
13/07/2020;20.08;20.01;20.51;20.11
10/07/2020;20;19.7;20.21;19.78
09/07/2020;19.81;19.02;19.85;19.21
08/07/2020;19.14;18.67;19.14;18.77
07/07/2020;18.64;17.73;18.66;17.94
06/07/2020;17.96;17.86;18.26;18.17
03/07/2020;17.96;17.29;17.98;17.51
02/07/2020;17.49;17.49;18.28;18.15
01/07/2020;18.04;17.69;18.09;17.96
30/06/2020;17.88;17.37;18.19;17.42
29/06/2020;17.57;17.05;17.57;17.51
26/06/2020;17.3;17.13;17.69;17.34
25/06/2020;17.39;17.15;17.64;17.44
24/06/2020;17.41;17.02;17.86;17.51
23/06/2020;17.53;17.53;17.99;17.85
22/06/2020;17.69;17.51;18.05;17.87
19/06/2020;17.81;17.57;17.9;17.71
18/06/2020;17.39;16.45;17.69;16.76
17/06/2020;16.76;16.45;17.13;16.57
16/06/2020;16.47;16.12;16.83;16.62
15/06/2020;16.43;15.52;16.43;15.68
12/06/2020;15.96;15.6;16.22;15.67
10/06/2020;16.12;15.25;16.23;15.72
09/06/2020;15.56;15.19;15.89;15.26
08/06/2020;15.56;14.8;15.79;14.97
05/06/2020;14.83;14.6;15.49;15.47
04/06/2020;15.09;14.97;15.51;15.38
03/06/2020;15.56;15.01;15.84;15.69
02/06/2020;15.42;15.32;16.21;16.12
01/06/2020;15.89;15.66;16.13;15.97
29/05/2020;16.06;15.97;16.39;16.29
28/05/2020;16.28;16.09;16.85;16.78
27/05/2020;16.81;16.15;16.91;16.68
26/05/2020;16.09;15.76;17;15.77
25/05/2020;15.07;14.69;15.22;14.77
22/05/2020;14.38;14.26;14.8;14.44
21/05/2020;14.54;14.24;14.75;14.37
20/05/2020;14.2;14.19;14.85;14.72
19/05/2020;14.62;13.9;14.78;13.96
18/05/2020;13.91;13.75;14.14;14.09
15/05/2020;13.75;13.55;14.03;13.72
14/05/2020;13.85;13.42;13.9;13.67
13/05/2020;13.75;13.58;13.96;13.87
12/05/2020;13.67;13.49;14.22;13.85
11/05/2020;13.71;13.61;14.11;13.83
08/05/2020;13.86;13.66;14.45;14.45
07/05/2020;14.17;13.32;14.52;14.1
06/05/2020;13.76;12.98;13.99;13.03
05/05/2020;12.52;12.51;13.17;13.01
04/05/2020;12.83;11.8;12.89;11.98
30/04/2020;12.4;12.25;12.86;12.44
