Data;Últ;Mín;Máx;Abe
05/02/2021;29.02;28.32;30.09;28.98
04/02/2021;28.82;28.21;28.99;28.83
03/02/2021;28.85;28.66;29.14;28.98
02/02/2021;28.66;28.2;29.14;28.4
01/02/2021;27.53;26.83;27.68;27.26
29/01/2021;26.69;26.69;27.68;27.52
28/01/2021;27.76;27.31;28.45;27.32
27/01/2021;27.38;26.53;28.17;26.81
26/01/2021;27;26.82;27.97;27.25
22/01/2021;27.09;26.56;27.24;26.93
21/01/2021;27.55;27.51;28.4;28.02
20/01/2021;28.21;28.11;29.12;28.95
19/01/2021;28.69;27.64;28.86;28.48
18/01/2021;28.07;28.01;28.85;28.31
15/01/2021;28.12;28.03;29.08;29.05
14/01/2021;29.45;28.72;29.67;29.17
13/01/2021;29.15;29;30.86;30.68
12/01/2021;30.63;30.63;31.56;31.12
11/01/2021;30.86;30.4;31.06;30.61
08/01/2021;31.12;30.35;31.76;31.46
07/01/2021;31;30.34;31.15;30.34
06/01/2021;30.07;30.05;30.9;30.16
05/01/2021;30.04;28.24;30.18;28.9
04/01/2021;28.91;28.53;29.18;28.65
30/12/2020;28.34;28.2;28.49;28.35
29/12/2020;28.27;27.99;28.43;28.38
28/12/2020;28.18;28.18;28.52;28.36
23/12/2020;27.95;27.35;28.25;27.43
22/12/2020;27.28;27.05;27.47;27.2
21/12/2020;27.02;26.52;27.49;27.19
18/12/2020;28.1;28.02;28.32;28.1
17/12/2020;28.24;28.07;28.39;28.3
16/12/2020;28.19;27.47;28.24;27.85
15/12/2020;27.85;27.64;27.99;27.8
14/12/2020;27.62;27.62;28.27;28.03
11/12/2020;27.57;27.28;27.84;27.49
10/12/2020;27.82;27.13;28.2;27.19
09/12/2020;26.94;26.4;26.97;26.63
08/12/2020;26.66;26.46;27.14;26.81
07/12/2020;27;26.67;27.79;27.27
04/12/2020;27.53;27.06;27.57;27.19
03/12/2020;26.64;26.05;26.89;26.15
02/12/2020;25.91;25.33;26.5;25.6
01/12/2020;25.6;25.29;25.77;25.4
30/11/2020;24.9;24.84;25.88;25.26
27/11/2020;25.5;25.45;26.06;25.92
26/11/2020;25.82;25.56;25.95;25.94
25/11/2020;26.25;25.67;26.5;26.2
24/11/2020;26.22;25.64;26.67;25.64
23/11/2020;25.1;24.04;25.1;24.05
20/11/2020;23.65;23.47;23.99;23.84
19/11/2020;23.82;23.37;23.94;23.55
18/11/2020;23.55;23.55;24.13;23.99
17/11/2020;23.69;22.98;24.14;23.05
16/11/2020;23.29;23.13;23.63;23.2
13/11/2020;22.63;21.89;22.8;22.02
12/11/2020;21.91;21.77;22.82;22.74
11/11/2020;22.88;22.4;23.36;23.35
10/11/2020;23.08;21.81;23.15;21.89
09/11/2020;21.61;21.04;22.69;21.11
06/11/2020;19.75;19.54;19.95;19.55
05/11/2020;19.89;19.72;19.99;19.95
04/11/2020;19.72;19.27;20.07;20.01
03/11/2020;19.65;19.33;19.9;19.51
30/10/2020;18.94;18.87;19.54;19.14
29/10/2020;19.29;17.74;19.37;18.43
28/10/2020;18.67;18.67;19.44;19.35
27/10/2020;19.88;19.81;20.37;20.26
26/10/2020;20.25;20.03;20.53;20.33
23/10/2020;20.57;20.54;21.14;20.94
22/10/2020;20.84;20.05;20.84;20.1
21/10/2020;20.16;19.83;20.33;20.16
20/10/2020;20.18;19.59;20.27;19.67
19/10/2020;19.52;19.25;19.94;19.41
16/10/2020;19.33;19.32;19.71;19.67
15/10/2020;19.75;19.44;19.77;19.62
14/10/2020;19.97;19.97;20.37;20.09
13/10/2020;20.13;19.73;20.13;19.91
09/10/2020;19.8;19.8;20.39;20.34
08/10/2020;20.44;19.86;20.59;20.04
07/10/2020;19.79;19.56;20.05;20
06/10/2020;19.93;19.93;20.7;20.47
05/10/2020;20.03;19.24;20.16;19.36
02/10/2020;19.02;19.02;19.74;19.73
01/10/2020;19.85;19.13;20.06;19.64
30/09/2020;19.61;19.43;20.04;19.5
29/09/2020;19.31;19.25;19.86;19.63
28/09/2020;19.63;19.63;20.56;20.33
25/09/2020;20.13;19.87;20.26;20.15
24/09/2020;20.4;20.06;20.71;20.24
23/09/2020;20.23;20.2;20.96;20.8
22/09/2020;20.8;20.75;21.35;20.96
21/09/2020;20.9;20.81;21.46;21.29
18/09/2020;21.65;21.55;22.15;21.99
17/09/2020;22.15;21.46;22.17;21.51
16/09/2020;21.73;21.6;21.99;21.85
15/09/2020;21.67;21.55;22.08;21.98
14/09/2020;21.68;21.43;21.98;21.94
11/09/2020;21.88;21.75;22.26;22.12
10/09/2020;22.12;22.11;22.58;22.58
09/09/2020;22.73;22.49;22.77;22.49
08/09/2020;22.26;21.91;22.5;22.5
04/09/2020;22.92;22.58;23.03;23
03/09/2020;22.88;22.57;23.12;22.61
02/09/2020;22.8;22.52;23.1;22.93
01/09/2020;22.87;22.12;22.89;22.2
31/08/2020;21.89;21.89;22.43;22.32
28/08/2020;22.54;22.06;22.54;22.25
27/08/2020;22.15;22.04;22.47;22.32
26/08/2020;22.22;22.04;22.9;22.78
25/08/2020;22.87;22.69;23.15;23.09
24/08/2020;22.97;22.8;23.13;22.86
21/08/2020;22.56;22.35;22.63;22.54
20/08/2020;22.73;22.35;22.87;22.52
19/08/2020;22.89;22.75;23.32;22.95
18/08/2020;23.02;22.77;23.24;22.93
17/08/2020;22.6;22.15;22.84;22.68
14/08/2020;22.67;22.53;22.98;22.77
13/08/2020;22.84;22.71;23.58;23.45
12/08/2020;23.48;23.08;23.68;23.36
11/08/2020;23.08;23.06;23.88;23.71
10/08/2020;23.45;22.64;23.45;22.9
07/08/2020;22.79;22.55;22.91;22.86
06/08/2020;23.22;23.01;23.53;23.28
05/08/2020;23.18;22.23;23.28;22.23
04/08/2020;21.78;21.25;22.05;21.46
03/08/2020;21.8;21.72;22.55;22.54
31/07/2020;22.2;22.16;23.14;22.92
30/07/2020;22.82;22.5;22.92;22.92
29/07/2020;23.17;22.92;23.25;23.03
28/07/2020;22.8;22.8;23.32;23.04
27/07/2020;23.2;22.45;23.25;22.87
24/07/2020;22.73;22.42;23.06;22.54
23/07/2020;22.57;22.54;23.23;23.16
22/07/2020;23.05;23.01;23.41;23.3
21/07/2020;23.37;23.14;23.6;23.15
20/07/2020;22.74;22.52;22.91;22.7
17/07/2020;22.74;22.58;23.03;22.83
16/07/2020;22.72;22.52;23.28;23.16
15/07/2020;23.34;22.85;23.43;23.2
14/07/2020;22.9;21.86;22.96;22.13
13/07/2020;22.16;22.16;22.65;22.61
10/07/2020;22.51;22.06;22.65;22.19
09/07/2020;22.14;22.06;22.81;22.78
08/07/2020;22.65;22.4;22.76;22.45
07/07/2020;22.23;22.14;22.47;22.34
06/07/2020;22.51;22.31;22.86;22.39
03/07/2020;21.98;21.8;22.18;21.95
02/07/2020;22.06;21.86;22.21;22.1
01/07/2020;21.71;21.52;22.25;21.75
30/06/2020;21.55;21.09;21.8;21.34
29/06/2020;21.66;20.93;21.66;21.1
26/06/2020;20.84;20.78;21.47;21.21
25/06/2020;21.47;20.73;21.47;20.91
24/06/2020;21;20.71;21.56;21.49
23/06/2020;21.65;21.14;22.07;21.22
22/06/2020;20.95;20.9;21.6;21.6
19/06/2020;21.47;21.22;22.22;22
18/06/2020;21.6;21.08;21.77;21.18
17/06/2020;21.44;21.15;21.85;21.48
16/06/2020;21.37;21.17;21.91;21.56
15/06/2020;20.7;19.54;21.09;19.81
