Data;Últ;Mín;Máx;Abe
05/02/2021;66.5;64.74;66.92;66.02
04/02/2021;64.66;63.31;64.66;64.08
03/02/2021;63.85;62.55;63.97;63.5
02/02/2021;63.08;61.71;65.5;65.34
01/02/2021;64.23;62.42;64.29;62.73
29/01/2021;62.05;61.68;64.5;63.6
28/01/2021;62.93;62.25;63.39;62.66
27/01/2021;62.3;61.92;66.45;66.22
26/01/2021;66.2;64.4;66.6;64.4
22/01/2021;64.36;63.98;65.5;64
21/01/2021;65.43;64.6;66.29;64.6
20/01/2021;65.9;65.72;67.8;66.52
19/01/2021;65.21;62.71;65.87;63.88
18/01/2021;63.29;61.15;64.29;61.15
15/01/2021;61.15;60.01;62.59;60.75
14/01/2021;59.66;59;60.88;60.06
13/01/2021;60;58.91;61.44;61.13
12/01/2021;61.23;60.36;63.28;61.09
11/01/2021;61.31;60.82;64.11;62.32
08/01/2021;62.78;60.7;63.18;62.5
07/01/2021;62.49;57.54;62.79;57.54
06/01/2021;57.52;57.41;59.85;59.6
05/01/2021;58.64;57.34;59.49;58.72
04/01/2021;58.91;57.85;59.97;59.74
30/12/2020;58.54;57.43;59.1;57.8
29/12/2020;57.21;56.8;57.9;57.73
28/12/2020;57.16;56.3;57.31;56.49
23/12/2020;56.37;56.21;58.16;57.98
22/12/2020;57.68;55.34;57.85;55.37
21/12/2020;55.22;55.08;56.5;55.91
18/12/2020;56.43;54.78;57.59;54.89
17/12/2020;54.96;54.05;55.33;54.17
16/12/2020;54.37;53.33;54.55;53.5
15/12/2020;53.5;51.7;54.09;52
14/12/2020;51.66;50.24;51.66;51.11
11/12/2020;51.42;49.52;51.45;50.8
10/12/2020;50.55;50.42;52.54;52.39
09/12/2020;52.48;51.98;52.87;52.78
08/12/2020;52.83;51.9;53.64;53.5
07/12/2020;52.75;52;53.18;52.68
04/12/2020;52.8;51.27;53.82;52.02
03/12/2020;51.98;51.1;55.21;54.99
02/12/2020;54.58;54.35;56.22;55.71
01/12/2020;57.46;55.88;58.07;55.9
30/11/2020;56.5;54.71;56.5;56.1
27/11/2020;55.53;53.76;56.49;54.44
26/11/2020;53.4;50.4;53.4;50.65
25/11/2020;50.53;49.4;50.7;50.22
24/11/2020;50.1;49.6;50.85;50.36
23/11/2020;50.62;50.21;51.48;51.48
20/11/2020;51.23;49.91;51.23;50.3
19/11/2020;50.21;50.01;51.48;50.7
18/11/2020;50.74;49.82;51.28;50.99
17/11/2020;51.3;51.26;53.99;52.75
16/11/2020;53.09;51.32;53.34;52.1
13/11/2020;51.94;49.1;52.14;49.2
12/11/2020;48.57;48.2;48.89;48.5
11/11/2020;48.35;48.01;49.21;48.2
10/11/2020;47.97;47.72;48.9;48.72
09/11/2020;48.68;47.3;49.59;48.35
06/11/2020;49.9;49.42;52.06;51.2
05/11/2020;51.3;50.16;51.91;51.7
04/11/2020;51.63;50.86;52.77;52.62
03/11/2020;52.68;50.22;52.88;51
30/10/2020;50.05;49.49;52.97;50.44
29/10/2020;50.17;48;50.38;48.01
28/10/2020;48.52;48.28;50.09;49.62
27/10/2020;50.1;49.65;51.25;50.81
26/10/2020;51;50.26;51.68;51.26
23/10/2020;51.21;50.62;51.51;51.25
22/10/2020;51.6;50.08;51.66;50.16
21/10/2020;50.02;50.02;51.15;50.49
20/10/2020;50.69;49.84;50.96;49.94
19/10/2020;50.11;49.82;52.22;51.69
16/10/2020;50.59;48.8;51.59;49
15/10/2020;48.36;47.15;48.54;48.05
14/10/2020;48.19;47.96;49.49;48.95
13/10/2020;48.95;47.95;49.5;49.37
09/10/2020;48.95;48.3;49.5;49.39
08/10/2020;49.27;47.61;49.59;48.25
07/10/2020;48.39;47.6;49.43;48.14
06/10/2020;47.94;47.22;49.26;47.68
05/10/2020;47.4;46.04;47.9;46.05
