Data;Últ;Mín;Máx;Abe
05/02/2021;92.69;89.55;92.77;90.2
04/02/2021;89.29;89.09;92.87;91.95
03/02/2021;90.43;88.6;91.42;88.85
02/02/2021;87.66;87.51;90.58;90.18
01/02/2021;91.27;88.58;91.27;90.01
29/01/2021;87.95;87.79;90.85;89.99
28/01/2021;91.1;88.1;91.35;88.2
27/01/2021;89.2;88.2;91.18;90.39
26/01/2021;91.75;91.36;94.16;92.99
22/01/2021;93.17;90.99;93.81;91.99
21/01/2021;93.36;92.14;96.1;92.3
20/01/2021;92.32;90.83;95.14;95
19/01/2021;94.06;91.9;94.57;94.5
18/01/2021;94.31;93.55;95.64;93.9
15/01/2021;93.55;93.2;97.2;96.58
14/01/2021;97.8;96.7;98.86;97.22
13/01/2021;96.22;95.74;98.92;98.87
12/01/2021;99.19;99.18;102.62;102.5
11/01/2021;101.98;99.7;101.98;100.25
08/01/2021;102;98.2;103.35;103.01
07/01/2021;102.32;96.61;102.53;96.61
06/01/2021;95.61;94.4;96.35;94.98
05/01/2021;93;90.52;93;91.46
04/01/2021;91.46;88.85;91.48;89.35
30/12/2020;87.45;86.65;87.59;87.19
29/12/2020;87.07;86.51;88.2;87.97
28/12/2020;87.31;87.08;88.58;87.79
23/12/2020;87.36;86.4;87.53;86.53
22/12/2020;86.94;85.43;86.99;86.86
21/12/2020;86.86;84.78;87.4;86.15
18/12/2020;87.8;87.43;88.38;87.62
17/12/2020;87.2;86.17;87.95;86.5
16/12/2020;86.22;84.36;86.23;84.9
15/12/2020;84.5;84.01;85.38;84.16
14/12/2020;83.55;82.95;85.22;85.2
11/12/2020;84.86;84.4;85.28;84.62
10/12/2020;85;83.2;85.22;83.65
09/12/2020;82.7;82.22;83.83;83.1
08/12/2020;82.9;81.66;83.3;82.97
07/12/2020;82.95;81.67;82.99;82.42
04/12/2020;81.98;80.1;82.68;80.1
03/12/2020;78.96;78.61;81.05;81
02/12/2020;79.84;77.31;81.25;80.9
01/12/2020;81.25;79.25;81.5;79.83
30/11/2020;78;77.12;79.36;78.85
27/11/2020;78.44;76.77;78.78;77
26/11/2020;76.57;75.4;76.6;75.42
